Date Local,Arithmetic Mean,Arithmetic Mean_temp,Arithmetic Mean_rhdp,Arithmetic Mean_winddirection,Arithmetic Mean_windspeed
2000-01-01,0.013941,49.666667,85.541667,69.583333,2.708333
2000-01-02,0.020235,51.166667,59.416667,132.541667,4.404167
2000-01-03,0.014118,54.25,38.083333,97.416667,4.0375
2000-01-04,0.009471,58.5,33.958333,109.791667,4.145833
2000-01-05,0.010176,60.291667,29.833333,138.0,3.095833
2000-01-06,0.009706,57.708333,24.625,114.083333,3.070833
2000-01-07,0.004706,57.416667,23.833333,106.958333,2.8875
2000-01-08,0.005765,57.166667,26.958333,119.25,4.0
2000-01-09,0.003824,55.458333,40.041667,142.625,2.1
2000-01-10,0.003412,55.083333,55.666667,133.5,1.8
2000-01-11,0.002118,54.625,70.166667,120.791667,2.308333
2000-01-12,0.005529,54.666667,86.208333,133.166667,2.129167
2000-01-13,0.010706,63.333333,48.958333,119.625,2.6375
2000-01-14,0.008235,69.458333,21.125,100.041667,2.995833
2000-01-15,0.005176,69.0,30.333333,142.083333,2.670833
2000-01-16,0.006118,61.958333,51.291667,105.291667,3.2125
2000-01-17,0.014706,64.708333,76.583333,60.25,4.475
2000-01-18,0.006647,67.125,62.875,115.291667,3.904167
2000-01-19,0.002824,63.916667,72.208333,152.208333,2.995833
2000-01-20,0.002176,62.208333,86.208333,194.291667,2.854167
2000-01-21,0.003588,57.833333,90.125,254.458333,2.8875
2000-01-22,0.003882,55.875,86.333333,167.5,2.158333
2000-01-23,0.003706,56.083333,86.333333,167.916667,1.516667
2000-01-24,0.008588,63.75,69.916667,164.333333,2.5625
2000-01-25,0.004294,57.956522,96.913043,123.565217,5.056522
2000-01-26,0.01,57.583333,78.208333,175.291667,3.029167
2000-01-27,0.006059,57.208333,62.583333,146.166667,2.6
2000-01-28,0.013176,58.666667,56.083333,112.416667,2.4375
2000-01-29,0.010235,57.833333,53.791667,155.541667,3.608333
2000-01-30,0.019412,55.125,89.875,172.75,1.8375
2000-01-31,0.004588,55.875,93.041667,157.333333,2.204167
2000-02-01,0.019235,62.791667,58.875,126.166667,3.895833
2000-02-02,0.017588,66.666667,34.958333,81.083333,5.125
2000-02-03,0.023706,64.291667,26.25,84.375,5.575
2000-02-04,0.005059,58.625,50.083333,152.875,3.1125
2000-02-05,0.009765,58.458333,84.916667,200.916667,2.916667
2000-02-06,0.017647,60.666667,66.958333,127.708333,2.379167
2000-02-07,0.012471,68.458333,37.833333,122.625,3.245833
2000-02-08,0.000824,62.875,53.958333,155.291667,2.1375
2000-02-09,0.005235,58.416667,77.916667,200.25,3.245833
2000-02-10,0.009294,54.291667,98.666667,172.291667,3.275
2000-02-11,0.014588,54.666667,85.958333,172.458333,2.483333
2000-02-12,0.021824,54.0,89.583333,211.0,3.758333
2000-02-13,0.016588,52.625,98.5,94.5,2.741667
2000-02-14,0.006882,56.833333,99.458333,132.541667,2.4875
2000-02-15,0.004824,58.375,83.541667,147.583333,3.458333
2000-02-16,0.014,51.958333,99.25,113.291667,3.729167
